psydonym,aufgabenname,stufenname,begonnen_tag,dauer_begonnen_bis_abgabe_in_sekunden,dauer_wiederbetreten_bis_abgabe_in_sekunden,kursversuchnummer,aufgaben_versuchnummer,punktzahl,studentenantwort,feedbacknamen,erwartete_antwort,feedbackmeldungen,net_time,submission_nr,cleaned_feedback
S40,Übungsaufgabe 6,#1,10.10.2024,59,0,1,1,0,NA,NA,NA,NA,59,17,NA
S40,Übungsaufgabe 9,#1,10.10.2024,69,0,1,1,0,NA,NA,NA,NA,69,18,NA
S10,Übungsaufgabe 1,Wochentage,08.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,19,NA
S10,Übungsaufgabe 10,#1,08.10.2024,71,0,1,1,0,NA,NA,NA,NA,71,20,NA
S10,Übungsaufgabe 2,#1,08.10.2024,33,0,1,1,0,NA,NA,NA,NA,33,21,NA
S10,Übungsaufgabe 2,#1,08.10.2024,71,0,2,1,0,NA,NA,NA,NA,71,22,NA
S10,Übungsaufgabe 2,#1,08.10.2024,34,0,3,1,100,NA,NA,NA,NA,34,23,NA
S10,Übungsaufgabe 4,#1,08.10.2024,2407,322,1,1,100,NA,NA,NA,NA,322,24,NA
S10,Übungsaufgabe 6,#1,08.10.2024,378,0,1,1,100,NA,NA,NA,NA,378,25,NA
S10,Übungsaufgabe 9,#1,08.10.2024,235,0,1,1,100,NA,NA,NA,NA,235,26,NA
S19,Übungsaufgabe 1,Wochentage,11.10.2024,8,0,1,1,100,NA,NA,NA,NA,8,27,NA
S19,Übungsaufgabe 10,#1,11.10.2024,160,0,1,1,100,NA,NA,NA,NA,160,28,NA
S19,Übungsaufgabe 2,#1,11.10.2024,48,0,1,1,100,NA,NA,NA,NA,48,29,NA
S19,Übungsaufgabe 4,#1,11.10.2024,117,0,1,1,100,NA,NA,NA,NA,117,30,NA
S19,Übungsaufgabe 6,#1,11.10.2024,107,0,1,1,100,NA,NA,NA,NA,107,31,NA
S19,Übungsaufgabe 9,#1,11.10.2024,309,0,1,1,100,NA,NA,NA,NA,309,32,NA
S36,Übungsaufgabe 1,Wochentage,15.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,33,NA
S36,Übungsaufgabe 1,Wochentage,15.10.2024,-1,-1,2,1,0,NA,NA,NA,NA,-1,34,NA
S36,Übungsaufgabe 10,#1,15.10.2024,637,0,1,1,0,NA,NA,NA,NA,637,35,NA
S36,Übungsaufgabe 2,#1,15.10.2024,98,0,1,1,0,NA,NA,NA,NA,98,36,NA
S36,Übungsaufgabe 4,#1,15.10.2024,1597,485,1,1,100,NA,NA,NA,NA,485,37,NA
S36,Übungsaufgabe 6,#1,15.10.2024,1704,107,1,1,0,NA,NA,NA,NA,107,38,NA
S36,Übungsaufgabe 9,#1,15.10.2024,83,0,1,1,100,NA,NA,NA,NA,83,39,NA
S42,Übungsaufgabe 1,Wochentage,11.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,40,NA
S42,Übungsaufgabe 10,#1,11.10.2024,142,63,1,1,100,NA,NA,NA,NA,63,41,NA
S42,Übungsaufgabe 2,#1,11.10.2024,194,0,1,1,100,NA,NA,NA,NA,194,42,NA
S42,Übungsaufgabe 4,#1,11.10.2024,109,0,1,1,100,NA,NA,NA,NA,109,43,NA
S42,Übungsaufgabe 6,#1,11.10.2024,70,0,1,1,100,NA,NA,NA,NA,70,44,NA
S42,Übungsaufgabe 9,#1,11.10.2024,214,49,1,1,100,NA,NA,NA,NA,49,45,NA
S01,Übungsaufgabe 1,Wochentage,15.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,46,NA
S01,Übungsaufgabe 10,#1,15.10.2024,22,0,1,1,100,NA,NA,NA,NA,22,47,NA
S01,Übungsaufgabe 2,#1,15.10.2024,56,0,1,1,100,NA,NA,NA,NA,56,48,NA
S01,Übungsaufgabe 4,#1,15.10.2024,56,0,1,1,100,NA,NA,NA,NA,56,49,NA
S01,Übungsaufgabe 6,#1,15.10.2024,40,0,1,1,100,NA,NA,NA,NA,40,50,NA
S01,Übungsaufgabe 9,#1,15.10.2024,45,34,1,1,100,NA,NA,NA,NA,34,51,NA
S03,Übungsaufgabe 1,Wochentage,10.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,52,NA
S03,Übungsaufgabe 10,#1,10.10.2024,86,0,1,1,0,NA,NA,NA,NA,86,53,NA
S03,Übungsaufgabe 10,#1,11.10.2024,22,0,2,1,100,NA,NA,NA,NA,22,54,NA
S03,Übungsaufgabe 2,#1,10.10.2024,27,0,1,1,100,NA,NA,NA,NA,27,55,NA
S03,Übungsaufgabe 4,#1,10.10.2024,108,0,1,1,100,NA,NA,NA,NA,108,56,NA
S03,Übungsaufgabe 6,#1,10.10.2024,53,0,1,1,100,NA,NA,NA,NA,53,57,NA
S03,Übungsaufgabe 9,#1,10.10.2024,93,0,1,1,0,NA,NA,NA,NA,93,58,NA
S03,Übungsaufgabe 9,#1,11.10.2024,18,0,2,1,100,NA,NA,NA,NA,18,59,NA
S05,Übungsaufgabe 1,Wochentage,11.10.2024,11,0,1,1,100,NA,NA,NA,NA,11,60,NA
S05,Übungsaufgabe 10,#1,11.10.2024,33,0,1,1,100,NA,NA,NA,NA,33,61,NA
S05,Übungsaufgabe 2,#1,11.10.2024,58,0,1,1,100,NA,NA,NA,NA,58,62,NA
S05,Übungsaufgabe 4,#1,11.10.2024,133,0,1,1,100,NA,NA,NA,NA,133,63,NA
S05,Übungsaufgabe 6,#1,11.10.2024,158,0,1,1,100,NA,NA,NA,NA,158,64,NA
S05,Übungsaufgabe 9,#1,11.10.2024,114,0,1,1,100,NA,NA,NA,NA,114,65,NA
S04,Übungsaufgabe 1,Wochentage,08.10.2024,14,0,1,1,100,NA,NA,NA,NA,14,66,NA
S04,Übungsaufgabe 10,#1,08.10.2024,54,0,1,1,100,NA,NA,NA,NA,54,67,NA
S04,Übungsaufgabe 2,#1,08.10.2024,125,0,1,1,100,NA,NA,NA,NA,125,68,NA
S04,Übungsaufgabe 4,#1,08.10.2024,233,0,1,1,100,NA,NA,NA,NA,233,69,NA
S04,Übungsaufgabe 6,#1,08.10.2024,174,0,1,1,100,NA,NA,NA,NA,174,70,NA
S04,Übungsaufgabe 9,#1,08.10.2024,175,0,1,1,100,NA,NA,NA,NA,175,71,NA
S02,Übungsaufgabe 1,Wochentage,11.10.2024,14,0,1,1,100,NA,NA,NA,NA,14,72,NA
S02,Übungsaufgabe 10,#1,11.10.2024,31,0,1,1,100,NA,NA,NA,NA,31,73,NA
S02,Übungsaufgabe 2,#1,11.10.2024,141,0,1,1,100,NA,NA,NA,NA,141,74,NA
S02,Übungsaufgabe 4,#1,11.10.2024,85,0,1,1,100,NA,NA,NA,NA,85,75,NA
S02,Übungsaufgabe 6,#1,11.10.2024,121,0,1,1,100,NA,NA,NA,NA,121,76,NA
S02,Übungsaufgabe 9,#1,11.10.2024,193,40,1,1,100,NA,NA,NA,NA,40,77,NA
S06,Übungsaufgabe 1,Wochentage,22.10.2024,16,0,1,1,100,NA,NA,NA,NA,16,78,NA
S06,Übungsaufgabe 10,#1,22.10.2024,77,0,1,1,100,NA,NA,NA,NA,77,79,NA
S06,Übungsaufgabe 2,#1,22.10.2024,47,0,1,1,100,NA,NA,NA,NA,47,80,NA
S06,Übungsaufgabe 4,#1,22.10.2024,364,0,1,1,100,NA,NA,NA,NA,364,81,NA
S06,Übungsaufgabe 6,#1,22.10.2024,71,0,1,1,100,NA,NA,NA,NA,71,82,NA
S06,Übungsaufgabe 9,#1,22.10.2024,158,0,1,1,100,NA,NA,NA,NA,158,83,NA
S07,Übungsaufgabe 1,Wochentage,08.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,84,NA
S07,Übungsaufgabe 10,#1,08.10.2024,42,0,1,1,100,NA,NA,NA,NA,42,85,NA
S07,Übungsaufgabe 2,#1,08.10.2024,83,0,1,1,100,NA,NA,NA,NA,83,86,NA
S07,Übungsaufgabe 4,#1,08.10.2024,299,0,1,1,100,NA,NA,NA,NA,299,87,NA
S07,Übungsaufgabe 6,#1,08.10.2024,89,0,1,1,100,NA,NA,NA,NA,89,88,NA
S07,Übungsaufgabe 9,#1,08.10.2024,160,0,1,1,100,NA,NA,NA,NA,160,89,NA
S08,Übungsaufgabe 1,Wochentage,11.10.2024,30,4,1,1,100,NA,NA,NA,NA,4,90,NA
S08,Übungsaufgabe 10,#1,11.10.2024,42,0,1,1,100,NA,NA,NA,NA,42,91,NA
S08,Übungsaufgabe 2,#1,11.10.2024,64,0,1,1,100,NA,NA,NA,NA,64,92,NA
S08,Übungsaufgabe 4,#1,11.10.2024,132,0,1,1,100,NA,NA,NA,NA,132,93,NA
S08,Übungsaufgabe 6,#1,11.10.2024,77,0,1,1,100,NA,NA,NA,NA,77,94,NA
S08,Übungsaufgabe 9,#1,11.10.2024,100,0,1,1,100,NA,NA,NA,NA,100,95,NA
S09,Übungsaufgabe 1,Wochentage,08.10.2024,11,0,1,1,100,NA,NA,NA,NA,11,96,NA
S09,Übungsaufgabe 10,#1,08.10.2024,24,0,1,1,100,NA,NA,NA,NA,24,97,NA
S09,Übungsaufgabe 2,#1,08.10.2024,80,0,1,1,100,NA,NA,NA,NA,80,98,NA
S09,Übungsaufgabe 4,#1,08.10.2024,191,0,1,1,100,NA,NA,NA,NA,191,99,NA
S09,Übungsaufgabe 6,#1,08.10.2024,93,0,1,1,100,NA,NA,NA,NA,93,100,NA
S09,Übungsaufgabe 9,#1,08.10.2024,282,0,1,1,100,NA,NA,NA,NA,282,101,NA
S13,Übungsaufgabe 1,Wochentage,29.10.2024,19,0,1,1,100,NA,NA,NA,NA,19,102,NA
S13,Übungsaufgabe 10,#1,29.10.2024,429,0,1,1,100,NA,NA,NA,NA,429,103,NA
S13,Übungsaufgabe 2,#1,29.10.2024,55,0,1,1,100,NA,NA,NA,NA,55,104,NA
S13,Übungsaufgabe 4,#1,29.10.2024,137,0,1,1,100,NA,NA,NA,NA,137,105,NA
S13,Übungsaufgabe 6,#1,29.10.2024,68,0,1,1,100,NA,NA,NA,NA,68,106,NA
S13,Übungsaufgabe 9,#1,29.10.2024,128,0,1,1,100,NA,NA,NA,NA,128,107,NA
S14,Übungsaufgabe 1,Wochentage,08.10.2024,7,0,1,1,100,NA,NA,NA,NA,7,108,NA
S14,Übungsaufgabe 10,#1,08.10.2024,74,0,1,1,100,NA,NA,NA,NA,74,109,NA
S14,Übungsaufgabe 2,#1,08.10.2024,36,0,1,1,100,NA,NA,NA,NA,36,110,NA
S14,Übungsaufgabe 4,#1,08.10.2024,374,0,1,1,100,NA,NA,NA,NA,374,111,NA
S14,Übungsaufgabe 6,#1,08.10.2024,62,0,1,1,100,NA,NA,NA,NA,62,112,NA
S14,Übungsaufgabe 9,#1,08.10.2024,120,0,1,1,100,NA,NA,NA,NA,120,113,NA
S16,Übungsaufgabe 1,Wochentage,11.10.2024,16,0,1,1,100,NA,NA,NA,NA,16,114,NA
S16,Übungsaufgabe 10,#1,11.10.2024,22,0,1,1,100,NA,NA,NA,NA,22,115,NA
S16,Übungsaufgabe 2,#1,11.10.2024,89,0,1,1,100,NA,NA,NA,NA,89,116,NA
S16,Übungsaufgabe 4,#1,11.10.2024,157,0,1,1,0,NA,NA,NA,NA,157,117,NA
S16,Übungsaufgabe 4,#1,11.10.2024,63,0,2,1,100,NA,NA,NA,NA,63,118,NA
S16,Übungsaufgabe 6,#1,11.10.2024,41,0,1,1,100,NA,NA,NA,NA,41,119,NA
S16,Übungsaufgabe 9,#1,11.10.2024,56,0,1,1,100,NA,NA,NA,NA,56,120,NA
S18,Übungsaufgabe 1,Wochentage,15.10.2024,17,0,1,1,100,NA,NA,NA,NA,17,121,NA
S18,Übungsaufgabe 10,#1,15.10.2024,46,0,1,1,100,NA,NA,NA,NA,46,122,NA
S18,Übungsaufgabe 2,#1,15.10.2024,111,74,1,1,100,NA,NA,NA,NA,74,123,NA
S18,Übungsaufgabe 4,#1,15.10.2024,102,0,1,1,100,NA,NA,NA,NA,102,124,NA
S18,Übungsaufgabe 6,#1,15.10.2024,50,0,1,1,100,NA,NA,NA,NA,50,125,NA
S18,Übungsaufgabe 9,#1,15.10.2024,176,67,1,1,100,NA,NA,NA,NA,67,126,NA
S22,Übungsaufgabe 1,Wochentage,11.10.2024,17,0,1,1,100,NA,NA,NA,NA,17,127,NA
S22,Übungsaufgabe 10,#1,11.10.2024,92,0,1,1,0,NA,NA,NA,NA,92,128,NA
S22,Übungsaufgabe 10,#1,11.10.2024,19,0,2,1,100,NA,NA,NA,NA,19,129,NA
S22,Übungsaufgabe 2,#1,11.10.2024,68,0,1,1,100,NA,NA,NA,NA,68,130,NA
S22,Übungsaufgabe 4,#1,11.10.2024,289,0,1,1,100,NA,NA,NA,NA,289,131,NA
S22,Übungsaufgabe 6,#1,11.10.2024,395,0,1,1,100,NA,NA,NA,NA,395,132,NA
S22,Übungsaufgabe 9,#1,11.10.2024,47,0,1,1,100,NA,NA,NA,NA,47,133,NA
S21,Übungsaufgabe 1,Wochentage,08.10.2024,6,0,1,1,100,NA,NA,NA,NA,6,134,NA
S21,Übungsaufgabe 10,#1,08.10.2024,76,0,1,1,100,NA,NA,NA,NA,76,135,NA
S21,Übungsaufgabe 2,#1,08.10.2024,70,0,1,1,100,NA,NA,NA,NA,70,136,NA
S21,Übungsaufgabe 4,#1,08.10.2024,181,0,1,1,100,NA,NA,NA,NA,181,137,NA
S21,Übungsaufgabe 6,#1,08.10.2024,111,0,1,1,100,NA,NA,NA,NA,111,138,NA
S21,Übungsaufgabe 9,#1,08.10.2024,221,0,1,1,100,NA,NA,NA,NA,221,139,NA
S24,Übungsaufgabe 1,Wochentage,08.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,140,NA
S24,Übungsaufgabe 10,#1,08.10.2024,65,0,1,1,100,NA,NA,NA,NA,65,141,NA
S24,Übungsaufgabe 2,#1,08.10.2024,130,0,1,1,100,NA,NA,NA,NA,130,142,NA
S24,Übungsaufgabe 4,#1,08.10.2024,232,0,1,1,100,NA,NA,NA,NA,232,143,NA
S24,Übungsaufgabe 6,#1,08.10.2024,201,0,1,1,100,NA,NA,NA,NA,201,144,NA
S24,Übungsaufgabe 9,#1,08.10.2024,93,0,1,1,100,NA,NA,NA,NA,93,145,NA
S20,Übungsaufgabe 1,Wochentage,11.10.2024,6,0,1,1,100,NA,NA,NA,NA,6,146,NA
S20,Übungsaufgabe 1,Wochentage,11.10.2024,4,0,2,1,100,NA,NA,NA,NA,4,147,NA
S20,Übungsaufgabe 10,#1,11.10.2024,40,0,1,1,0,NA,NA,NA,NA,40,148,NA
S20,Übungsaufgabe 10,#1,11.10.2024,13,0,2,1,100,NA,NA,NA,NA,13,149,NA
S20,Übungsaufgabe 2,#1,11.10.2024,23,0,1,1,100,NA,NA,NA,NA,23,150,NA
S20,Übungsaufgabe 2,#1,11.10.2024,20,0,2,1,100,NA,NA,NA,NA,20,151,NA
S20,Übungsaufgabe 4,#1,11.10.2024,63,0,1,1,100,NA,NA,NA,NA,63,152,NA
S20,Übungsaufgabe 4,#1,11.10.2024,32,0,2,1,100,NA,NA,NA,NA,32,153,NA
S20,Übungsaufgabe 6,#1,11.10.2024,44,0,1,1,100,NA,NA,NA,NA,44,154,NA
S20,Übungsaufgabe 6,#1,11.10.2024,20,0,2,1,100,NA,NA,NA,NA,20,155,NA
S20,Übungsaufgabe 9,#1,11.10.2024,70,0,1,1,0,NA,NA,NA,NA,70,156,NA
S20,Übungsaufgabe 9,#1,11.10.2024,10,0,2,1,100,NA,NA,NA,NA,10,157,NA
S26,Übungsaufgabe 1,Wochentage,08.10.2024,11,0,1,1,100,NA,NA,NA,NA,11,158,NA
S26,Übungsaufgabe 10,#1,08.10.2024,47,0,1,1,100,NA,NA,NA,NA,47,159,NA
S26,Übungsaufgabe 2,#1,08.10.2024,109,0,1,1,100,NA,NA,NA,NA,109,160,NA
S26,Übungsaufgabe 4,#1,08.10.2024,212,0,1,1,100,NA,NA,NA,NA,212,161,NA
S26,Übungsaufgabe 6,#1,08.10.2024,178,0,1,1,100,NA,NA,NA,NA,178,162,NA
S26,Übungsaufgabe 9,#1,08.10.2024,173,0,1,1,100,NA,NA,NA,NA,173,163,NA
S25,Übungsaufgabe 1,Wochentage,08.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,164,NA
S25,Übungsaufgabe 10,#1,08.10.2024,61,17,1,1,100,NA,NA,NA,NA,17,165,NA
S25,Übungsaufgabe 2,#1,08.10.2024,93,0,1,1,100,NA,NA,NA,NA,93,166,NA
S25,Übungsaufgabe 4,#1,08.10.2024,106,0,1,1,100,NA,NA,NA,NA,106,167,NA
S25,Übungsaufgabe 6,#1,08.10.2024,110,0,1,1,100,NA,NA,NA,NA,110,168,NA
S25,Übungsaufgabe 9,#1,08.10.2024,173,0,1,1,0,NA,NA,NA,NA,173,169,NA
S25,Übungsaufgabe 9,#1,08.10.2024,66,0,2,1,0,NA,NA,NA,NA,66,170,NA
S25,Übungsaufgabe 9,#1,08.10.2024,20,0,3,1,100,NA,NA,NA,NA,20,171,NA
S29,Übungsaufgabe 1,Wochentage,15.10.2024,13,0,1,1,100,NA,NA,NA,NA,13,172,NA
S29,Übungsaufgabe 10,#1,15.10.2024,23,0,1,1,100,NA,NA,NA,NA,23,173,NA
S29,Übungsaufgabe 2,#1,15.10.2024,271,0,1,1,100,NA,NA,NA,NA,271,174,NA
S29,Übungsaufgabe 4,#1,15.10.2024,87,0,1,1,100,NA,NA,NA,NA,87,175,NA
S29,Übungsaufgabe 6,#1,15.10.2024,212,0,1,1,100,NA,NA,NA,NA,212,176,NA
S29,Übungsaufgabe 9,#1,15.10.2024,149,0,1,1,100,NA,NA,NA,NA,149,177,NA
S30,Übungsaufgabe 1,Wochentage,11.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,178,NA
S30,Übungsaufgabe 10,#1,11.10.2024,30,0,1,1,100,NA,NA,NA,NA,30,179,NA
S30,Übungsaufgabe 2,#1,11.10.2024,87,0,1,1,100,NA,NA,NA,NA,87,180,NA
S30,Übungsaufgabe 4,#1,11.10.2024,103,0,1,1,100,NA,NA,NA,NA,103,181,NA
S30,Übungsaufgabe 6,#1,11.10.2024,122,0,1,1,100,NA,NA,NA,NA,122,182,NA
S30,Übungsaufgabe 9,#1,11.10.2024,101,0,1,1,100,NA,NA,NA,NA,101,183,NA
S35,Übungsaufgabe 1,Wochentage,14.10.2024,14,0,1,1,100,NA,NA,NA,NA,14,184,NA
S35,Übungsaufgabe 10,#1,14.10.2024,110,0,1,1,100,NA,NA,NA,NA,110,185,NA
S35,Übungsaufgabe 2,#1,14.10.2024,165,0,1,1,100,NA,NA,NA,NA,165,186,NA
S35,Übungsaufgabe 4,#1,14.10.2024,121,0,1,1,100,NA,NA,NA,NA,121,187,NA
S35,Übungsaufgabe 6,#1,14.10.2024,134,0,1,1,100,NA,NA,NA,NA,134,188,NA
S35,Übungsaufgabe 9,#1,14.10.2024,103,0,1,1,0,NA,NA,NA,NA,103,189,NA
S35,Übungsaufgabe 9,#1,14.10.2024,15,0,2,1,100,NA,NA,NA,NA,15,190,NA
S38,Übungsaufgabe 1,Wochentage,08.10.2024,13,0,1,1,100,NA,NA,NA,NA,13,191,NA
S38,Übungsaufgabe 10,#1,08.10.2024,242,137,1,1,0,NA,NA,NA,NA,137,192,NA
S38,Übungsaufgabe 2,#1,08.10.2024,102,0,1,1,100,NA,NA,NA,NA,102,193,NA
S38,Übungsaufgabe 4,#1,08.10.2024,152,0,1,1,100,NA,NA,NA,NA,152,194,NA
S38,Übungsaufgabe 6,#1,08.10.2024,186,0,1,1,100,NA,NA,NA,NA,186,195,NA
S38,Übungsaufgabe 9,#1,08.10.2024,42,0,1,1,0,NA,NA,NA,NA,42,196,NA
S38,Übungsaufgabe 9,#1,08.10.2024,-1,-1,2,1,0,NA,NA,NA,NA,-1,197,NA
S39,Übungsaufgabe 1,Wochentage,11.10.2024,5,0,1,1,100,NA,NA,NA,NA,5,198,NA
S39,Übungsaufgabe 10,#1,11.10.2024,35,0,1,1,0,NA,NA,NA,NA,35,199,NA
S39,Übungsaufgabe 10,#1,11.10.2024,87,0,2,1,0,NA,NA,NA,NA,87,200,NA
S39,Übungsaufgabe 10,#1,11.10.2024,69,0,3,1,0,NA,NA,NA,NA,69,201,NA
S39,Übungsaufgabe 10,#1,11.10.2024,44,0,4,1,100,NA,NA,NA,NA,44,202,NA
S39,Übungsaufgabe 2,#1,11.10.2024,41,0,1,1,100,NA,NA,NA,NA,41,203,NA
S39,Übungsaufgabe 4,#1,11.10.2024,41,0,1,1,0,NA,NA,NA,NA,41,204,NA
S39,Übungsaufgabe 4,#1,11.10.2024,52,0,2,1,100,NA,NA,NA,NA,52,205,NA
S39,Übungsaufgabe 6,#1,11.10.2024,36,0,1,1,100,NA,NA,NA,NA,36,206,NA
S39,Übungsaufgabe 9,#1,11.10.2024,95,0,1,1,100,NA,NA,NA,NA,95,207,NA
S41,Übungsaufgabe 1,Wochentage,08.10.2024,10,0,1,1,100,NA,NA,NA,NA,10,208,NA
S41,Übungsaufgabe 10,#1,08.10.2024,58,0,1,1,100,NA,NA,NA,NA,58,209,NA
S41,Übungsaufgabe 2,#1,08.10.2024,38,0,1,1,100,NA,NA,NA,NA,38,210,NA
S41,Übungsaufgabe 4,#1,08.10.2024,152,0,1,1,100,NA,NA,NA,NA,152,211,NA
S41,Übungsaufgabe 6,#1,08.10.2024,103,0,1,1,100,NA,NA,NA,NA,103,212,NA
S41,Übungsaufgabe 9,#1,08.10.2024,184,0,1,1,100,NA,NA,NA,NA,184,213,NA
S43,Übungsaufgabe 1,Wochentage,11.10.2024,9,0,1,1,100,NA,NA,NA,NA,9,214,NA
S43,Übungsaufgabe 10,#1,11.10.2024,137,0,1,1,0,NA,NA,NA,NA,137,215,NA
S43,Übungsaufgabe 10,#1,11.10.2024,62,0,2,1,0,NA,NA,NA,NA,62,216,NA
S43,Übungsaufgabe 10,#1,11.10.2024,73,0,3,1,100,NA,NA,NA,NA,73,217,NA
S43,Übungsaufgabe 2,#1,11.10.2024,91,0,1,1,100,NA,NA,NA,NA,91,218,NA
S43,Übungsaufgabe 4,#1,11.10.2024,74,0,1,1,100,NA,NA,NA,NA,74,219,NA
S43,Übungsaufgabe 6,#1,11.10.2024,91,0,1,1,100,NA,NA,NA,NA,91,220,NA
S43,Übungsaufgabe 9,#1,11.10.2024,251,39,1,1,100,NA,NA,NA,NA,39,221,NA
S44,Übungsaufgabe 1,Wochentage,11.10.2024,18,0,1,1,100,NA,NA,NA,NA,18,222,NA
S44,Übungsaufgabe 10,#1,11.10.2024,32,0,1,1,100,NA,NA,NA,NA,32,223,NA
S44,Übungsaufgabe 2,#1,11.10.2024,58,0,1,1,100,NA,NA,NA,NA,58,224,NA
S44,Übungsaufgabe 4,#1,11.10.2024,136,0,1,1,100,NA,NA,NA,NA,136,225,NA
S44,Übungsaufgabe 6,#1,11.10.2024,118,0,1,1,100,NA,NA,NA,NA,118,226,NA
S44,Übungsaufgabe 9,#1,11.10.2024,140,0,1,1,100,NA,NA,NA,NA,140,227,NA
S45,Übungsaufgabe 1,Wochentage,30.10.2024,8,0,1,1,100,NA,NA,NA,NA,8,228,NA
S45,Übungsaufgabe 10,#1,30.10.2024,877,129,1,1,0,NA,NA,NA,NA,129,229,NA
S45,Übungsaufgabe 10,#1,30.10.2024,36,0,2,1,100,NA,NA,NA,NA,36,230,NA
S45,Übungsaufgabe 2,#1,30.10.2024,339,0,1,1,100,NA,NA,NA,NA,339,231,NA
S45,Übungsaufgabe 4,#1,30.10.2024,578,0,1,1,0,NA,NA,NA,NA,578,232,NA
S45,Übungsaufgabe 4,#1,30.10.2024,592,0,2,1,100,NA,NA,NA,NA,592,233,NA
S45,Übungsaufgabe 6,#1,30.10.2024,582,151,1,1,100,NA,NA,NA,NA,151,234,NA
S45,Übungsaufgabe 9,#1,30.10.2024,562,0,1,1,100,NA,NA,NA,NA,562,235,NA
S11,Ü1A3a)_,H2O,16.10.2024,199,0,1,1,100,1S/H2O/h1H2,100% korrekte Antwort,1S/H2O/h1H2,"Ihre Antwort ist richtig. Ein Wassermolekül (H2O) besteht aus einem Sauerstoffatom (O), an das zwei Wasserstoffatome (H) gebunden sind. Das Sauerstoffatom verfügt zusätzlich über zwei freie Elektronenpaare. JACK kann freie Elektronenpaare aktuell noch nicht mit auswerten. Ihre Antwort wird daher auch als richtig akzeptiert, wenn Sie die freien Elektronenpaare nicht (richtig) einzeichnen. Wir geben Ihnen in dieser Übung die freien Elektronenpaare in der Musterlösung alle mit an, damit Sie sich diese noch mal bewusst machen können. Gleichen Sie also Ihre Zeichnung nochmal aktiv hinsichtlich der freien Elektronenpaare mit der Musterösung ab.",199,236,100% korrekte Antwort
S11,Ü1A3b)_,H2SO4,16.10.2024,99,0,1,1,0,"1S/H4O4S/c1-5(2,3)4/h1-4H/p-2",Attempts,1S/H2O4S/c1-5(2;3)4/h(H2;1;2;3;4),"Ihre Antwort ist leider nicht richtig. Versuchen Sie es einfach nochmal. Ein Schwefelsäuremolekül (H2SO4) besteht aus einem Schwefelatom (S), an das vier Sauerstoffatome (O) gebunden sind; zwei über Einfachbindungen, zwei über Doppelbindungen. Alle Sauerstoffatome verfügen über zwei freie Elektronenpaare. Die einfachgebundenen Sauerstoffatome binden zusätzlich jeweils ein Wasserstoffatom.",99,237,Attempts
